name,version,repository,license,license-url,license-source
com.esaulpaugh:headlong,12.1.0,https://github.com/esaulpaugh/headlong,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,pom(com.esaulpaugh:headlong:12.1.0)
com.google.android:annotations,4.1.1.4,UNKNOWN,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0,pom(com.google.android:annotations:4.1.1.4)
com.google.code.findbugs:jsr305,3.0.2,UNKNOWN,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,pom(com.google.code.findbugs:jsr305:3.0.2)
com.google.code.gson:gson,2.10.1,https://github.com/google/gson/,Apache-2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,pom(com.google.code.gson:gson:2.10.1)
com.google.errorprone:error_prone_annotations,2.21.1,https://github.com/google/error-prone,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,pom(com.google.errorprone:error_prone_annotations:2.21.1)
com.google.guava:failureaccess,1.0.1,https://github.com/google/guava,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,pom(com.google.guava:guava-parent:26.0-android)
com.google.guava:guava,32.1.3-android,https://github.com/google/guava,"Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,pom(com.google.guava:guava-parent:32.1.3-android)
com.google.guava:listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,https://github.com/google/guava,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,pom(com.google.guava:guava-parent:26.0-android)
com.google.j2objc:j2objc-annotations,2.8,UNKNOWN,"Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,pom(com.google.j2objc:j2objc-annotations:2.8)
com.google.protobuf:protobuf-javalite,3.25.3,https://github.com/protocolbuffers/protobuf,BSD 3-Clause,https://api.github.com/licenses/bsd-3-clause,https://developers.google.com/open-source/licenses/bsd
io.grpc:grpc-api,1.64.0,https://github.com/grpc/grpc-java,Apache 2.0,https://opensource.org/licenses/Apache-2.0,pom(io.grpc:grpc-api:1.64.0)
io.grpc:grpc-context,1.64.0,https://github.com/grpc/grpc-java,Apache 2.0,https://opensource.org/licenses/Apache-2.0,pom(io.grpc:grpc-context:1.64.0)
io.grpc:grpc-core,1.64.0,https://github.com/grpc/grpc-java,Apache 2.0,https://opensource.org/licenses/Apache-2.0,pom(io.grpc:grpc-core:1.64.0)
io.grpc:grpc-inprocess,1.64.0,https://github.com/grpc/grpc-java,Apache 2.0,https://opensource.org/licenses/Apache-2.0,pom(io.grpc:grpc-inprocess:1.64.0)
io.grpc:grpc-protobuf-lite,1.64.0,https://github.com/grpc/grpc-java,Apache 2.0,https://opensource.org/licenses/Apache-2.0,pom(io.grpc:grpc-protobuf-lite:1.64.0)
io.grpc:grpc-stub,1.64.0,https://github.com/grpc/grpc-java,Apache 2.0,https://opensource.org/licenses/Apache-2.0,pom(io.grpc:grpc-stub:1.64.0)
io.perfmark:perfmark-api,0.26.0,https://github.com/perfmark/perfmark,Apache 2.0,https://opensource.org/licenses/Apache-2.0,pom(io.perfmark:perfmark-api:0.26.0)
org.bouncycastle:bcpkix-jdk18on,1.78.1,https://github.com/bcgit/bc-java,Bouncy Castle Licence,https://www.bouncycastle.org/licence.html,pom(org.bouncycastle:bcpkix-jdk18on:1.78.1)
org.bouncycastle:bcprov-jdk18on,1.78.1,https://github.com/bcgit/bc-java,Bouncy Castle Licence,https://www.bouncycastle.org/licence.html,pom(org.bouncycastle:bcprov-jdk18on:1.78.1)
org.bouncycastle:bcutil-jdk18on,1.78.1,https://github.com/bcgit/bc-java,Bouncy Castle Licence,https://www.bouncycastle.org/licence.html,pom(org.bouncycastle:bcutil-jdk18on:1.78.1)
org.checkerframework:checker-qual,3.37.0,https://github.com/typetools/checker-framework,MIT License,https://api.github.com/licenses/mit,https://repo1.maven.org/maven2/org/checkerframework/checker-qual/3.33.0/checker-qual-3.33.0.pom
org.codehaus.mojo:animal-sniffer-annotations,1.23,https://github.com/mojohaus/animal-sniffer/tree/master,MIT license,https://spdx.org/licenses/MIT.txt,pom(org.codehaus.mojo:animal-sniffer-parent:1.23)
org.slf4j:slf4j-api,2.0.9,https://github.com/qos-ch/slf4j,MIT License,http://www.opensource.org/licenses/mit-license.php,pom(org.slf4j:slf4j-bom:2.0.9)
