name,version,language,repository,license,license-url,license-source
com.esaulpaugh:headlong,10.0.0,java,https://github.com/esaulpaugh/headlong,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.esaulpaugh:headlong:10.0.0) (normalized)
com.github.spotbugs:spotbugs-annotations,4.8.3,java,https://github.com/spotbugs/spotbugs/,LGPL-2.1,https://spdx.org/licenses/LGPL-2.1.html,pom(com.github.spotbugs:spotbugs-annotations:4.8.3) (normalized)
com.google.android:annotations,4.1.1.4,java,UNKNOWN,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.android:annotations:4.1.1.4) (normalized)
com.google.code.findbugs:jsr305,3.0.2,java,UNKNOWN,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.code.findbugs:jsr305:3.0.2) (normalized)
com.google.code.gson:gson,2.10.1,java,https://github.com/google/gson/,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.code.gson:gson:2.10.1) (normalized)
com.google.errorprone:error_prone_annotations,2.20.0,java,https://github.com/google/error-prone,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.errorprone:error_prone_annotations:2.20.0) (normalized)
com.google.guava:failureaccess,1.0.1,java,https://github.com/google/guava,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.guava:guava-parent:26.0-android) (normalized)
com.google.guava:guava,32.0.1-android,java,https://github.com/google/guava,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.guava:guava-parent:32.0.1-android) (normalized)
com.google.guava:listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,java,https://github.com/google/guava,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.guava:guava-parent:26.0-android) (normalized)
com.google.j2objc:j2objc-annotations,2.8,java,UNKNOWN,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.j2objc:j2objc-annotations:2.8) (normalized)
com.google.protobuf:protobuf-javalite,3.21.9,java,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://developers.google.com/open-source/licenses/bsd (normalized)
com.hedera.hashgraph:sdk,2.32.0,java,https://github.com/hashgraph/hedera-sdk-java,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.hedera.hashgraph:sdk:2.32.0) (normalized)
com.squareup.okio:okio,2.10.0,java,https://github.com/square/okio/,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.squareup.okio:okio:2.10.0) (normalized)
